,doc,content,content_num,content_sum,year
0,S_RES_0001_1946,1,3,4,1946
1,S_RES_0002_1946,4,0,4,1946
2,S_RES_0003_1946,7,0,7,1946
3,S_RES_0004_1946,3,0,3,1946
4,S_RES_0005_1946,2,0,2,1946
5,S_RES_0006_1946,2,2,4,1946
6,S_RES_0007_1946,1,0,1,1946
7,S_RES_0008_1946,4,0,4,1946
8,S_RES_0009_1946,2,5,7,1946
9,S_RES_0010_1946,1,0,1,1946
10,S_RES_0011_1946,1,0,1,1946
11,S_RES_0012_1946,1,3,4,1946
12,S_RES_0013_1946,2,0,2,1946
13,S_RES_0014_1946,1,0,1,1946
14,S_RES_0015_1946,1,0,1,1946
15,S_RES_0016_1947,2,0,2,1947
16,S_RES_0017_1947,2,0,2,1947
17,S_RES_0018_1947,2,4,6,1947
18,S_RES_0019_1947,1,0,1,1947
19,S_RES_0020_1947,1,4,5,1947
20,S_RES_0021_1947,30,0,30,1947
21,S_RES_0022_1947,2,0,2,1947
22,S_RES_0023_1947,1,0,1,1947
23,S_RES_0024_1947,1,0,1,1947
24,S_RES_0025_1947,1,0,1,1947
25,S_RES_0026_1947,2,2,4,1947
26,S_RES_0027_1947,2,0,2,1947
27,S_RES_0028_1947,1,0,1,1947
28,S_RES_0029_1947,4,0,4,1947
29,S_RES_0030_1947,0,7,7,1947
30,S_RES_0031_1947,1,0,1,1947
31,S_RES_0032_1947,1,2,3,1947
32,S_RES_0033_1947,1,3,4,1947
33,S_RES_0034_1947,1,0,1,1947
34,S_RES_0035_1947,1,2,3,1947
35,S_RES_0036_1947,2,5,7,1947
36,S_RES_0037_1947,1,0,1,1947
37,S_RES_0038_1948,3,2,5,1948
38,S_RES_0039_1948,2,0,2,1948
39,S_RES_0040_1948,1,0,1,1948
40,S_RES_0041_1948,1,4,5,1948
41,S_RES_0042_1948,1,2,3,1948
42,S_RES_0043_1948,1,3,4,1948
43,S_RES_0044_1948,5,0,5,1948
44,S_RES_0045_1948,3,0,3,1948
45,S_RES_0046_1948,3,3,6,1948
46,S_RES_0047_1948,8,18,26,1948
47,S_RES_0048_1948,2,0,2,1948
48,S_RES_0049_1948,1,4,5,1948
49,S_RES_0050_1948,1,12,13,1948
