,doc,decides,decides_act,art25_charter,chpVII,art39_charter,art40_charter,art41_charter,art39lang,demand,authorizes,requests,int_peace_sec,art39lang_wout,year,decade
0,S_RES_0001_1946,0,0,0,0,0,0,0,0,0,0,1,0,0,1946,1940
1,S_RES_0002_1946,0,0,0,0,0,0,0,0,0,0,1,0,0,1946,1940
2,S_RES_0003_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
3,S_RES_0004_1946,0,0,0,0,0,0,0,1,0,0,0,1,0,1946,1940
4,S_RES_0005_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
5,S_RES_0006_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
6,S_RES_0007_1946,1,0,0,0,0,0,0,1,0,0,0,1,0,1946,1940
7,S_RES_0008_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
8,S_RES_0009_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
9,S_RES_0010_1946,0,0,0,0,0,0,0,0,0,0,1,0,0,1946,1940
10,S_RES_0011_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
11,S_RES_0012_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
12,S_RES_0013_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
13,S_RES_0014_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
14,S_RES_0015_1946,0,0,0,0,0,0,0,0,0,0,0,0,0,1946,1940
15,S_RES_0016_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
16,S_RES_0017_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
17,S_RES_0018_1947,0,0,0,0,0,0,0,1,0,0,0,1,0,1947,1940
18,S_RES_0019_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
19,S_RES_0020_1947,0,0,0,0,0,0,0,0,0,0,1,0,0,1947,1940
20,S_RES_0021_1947,0,0,0,0,0,0,0,1,0,0,0,1,0,1947,1940
21,S_RES_0022_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
22,S_RES_0023_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
23,S_RES_0024_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
24,S_RES_0025_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
25,S_RES_0026_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
26,S_RES_0027_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
27,S_RES_0028_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
28,S_RES_0029_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
29,S_RES_0030_1947,0,0,0,0,0,0,0,0,0,0,1,0,0,1947,1940
30,S_RES_0031_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
31,S_RES_0032_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
32,S_RES_0033_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
33,S_RES_0034_1947,0,0,0,0,0,0,0,0,0,0,1,0,0,1947,1940
34,S_RES_0035_1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
35,S_RES_0036_1947,0,0,0,0,0,0,0,0,0,0,1,0,0,1947,1940
36,S_RES_0037_1947,1,0,0,0,0,0,0,0,0,0,0,0,0,1947,1940
37,S_RES_0038_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
38,S_RES_0039_1948,0,0,0,0,0,0,0,1,0,0,0,1,0,1948,1940
39,S_RES_0040_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
40,S_RES_0041_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
41,S_RES_0042_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
42,S_RES_0043_1948,0,0,0,0,0,0,0,1,0,0,0,1,0,1948,1940
43,S_RES_0044_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
44,S_RES_0045_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
45,S_RES_0046_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
46,S_RES_0047_1948,0,0,0,0,0,0,0,1,0,0,0,1,0,1948,1940
47,S_RES_0048_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
48,S_RES_0049_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
49,S_RES_0050_1948,1,0,0,1,0,0,0,0,0,0,0,0,0,1948,1940
50,S_RES_0051_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
51,S_RES_0052_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
52,S_RES_0053_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
53,S_RES_0054_1948,1,0,0,1,1,1,0,1,0,1,1,0,1,1948,1940
54,S_RES_0055_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
55,S_RES_0056_1948,1,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
56,S_RES_0057_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
57,S_RES_0058_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
58,S_RES_0059_1948,0,0,0,0,0,0,0,1,0,0,1,0,1,1948,1940
59,S_RES_0060_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
60,S_RES_0061_1948,0,0,0,1,0,0,0,0,0,0,0,0,0,1948,1940
61,S_RES_0062_1948,1,0,0,0,1,1,0,1,0,0,0,0,1,1948,1940
62,S_RES_0063_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
63,S_RES_0064_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
64,S_RES_0065_1948,0,0,0,0,0,0,0,0,0,0,1,0,0,1948,1940
65,S_RES_0066_1948,0,0,0,0,0,0,0,0,0,0,0,0,0,1948,1940
66,S_RES_0067_1949,0,0,0,0,0,0,0,1,0,0,1,1,0,1949,1940
67,S_RES_0068_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
68,S_RES_0069_1949,1,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
69,S_RES_0070_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
70,S_RES_0071_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
71,S_RES_0072_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
72,S_RES_0073_1949,1,0,0,0,0,1,0,0,0,0,1,0,0,1949,1940
73,S_RES_0074_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
74,S_RES_0075_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
75,S_RES_0076_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
76,S_RES_0077_1949,0,0,0,0,0,0,0,0,0,0,0,0,0,1949,1940
77,S_RES_0078_1949,0,0,0,0,0,0,0,0,0,0,1,0,0,1949,1940
78,S_RES_0079_1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1950,1950
79,S_RES_0080_1950,1,0,0,0,0,0,0,0,0,0,1,0,0,1950,1950
80,S_RES_0081_1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1950,1950
81,S_RES_0082_1950,0,0,0,0,0,0,0,1,0,0,1,0,1,1950,1950
82,S_RES_0083_1950,0,0,0,0,0,0,0,1,0,0,0,1,1,1950,1950
83,S_RES_0084_1950,0,0,0,0,0,0,0,1,0,1,1,1,1,1950,1950
84,S_RES_0085_1950,0,0,0,0,0,0,0,0,0,0,1,0,0,1950,1950
85,S_RES_0086_1950,0,0,0,0,0,0,0,0,0,0,0,0,0,1950,1950
86,S_RES_0087_1950,1,0,0,0,0,0,0,1,0,0,0,1,1,1950,1950
87,S_RES_0088_1950,1,0,0,0,0,0,0,0,0,0,0,0,0,1950,1950
88,S_RES_0089_1950,0,0,0,0,0,0,0,0,0,1,1,0,0,1950,1950
89,S_RES_0090_1951,0,0,0,0,0,0,0,1,0,0,0,0,1,1951,1950
90,S_RES_0091_1951,1,0,0,0,0,0,0,1,0,0,1,1,0,1951,1950
91,S_RES_0092_1951,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1950
92,S_RES_0093_1951,1,0,0,0,0,0,0,1,0,1,1,1,0,1951,1950
93,S_RES_0094_1951,1,0,0,0,0,0,0,0,0,0,0,0,0,1951,1950
94,S_RES_0095_1951,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1950
95,S_RES_0096_1951,0,0,0,0,0,0,0,0,0,0,0,0,0,1951,1950
96,S_RES_0097_1952,0,0,0,0,0,0,0,0,0,0,0,0,0,1952,1950
97,S_RES_0098_1952,0,0,0,0,0,0,0,0,0,0,1,0,0,1952,1950
98,S_RES_0099_1953,1,0,0,0,0,0,0,0,0,0,0,0,0,1953,1950
99,S_RES_0100_1953,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,1950
100,S_RES_0101_1953,0,0,0,0,0,0,0,0,0,0,1,0,0,1953,1950
101,S_RES_0102_1953,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,1950
102,S_RES_0103_1953,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,1950
103,S_RES_0104_1954,0,0,0,0,0,0,0,0,0,0,1,0,0,1954,1950
104,S_RES_0105_1954,1,0,0,0,0,0,0,0,0,0,0,0,0,1954,1950
105,S_RES_0106_1955,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,1950
106,S_RES_0107_1955,0,0,0,0,0,0,0,0,0,0,1,0,0,1955,1950
107,S_RES_0108_1955,0,0,0,0,0,0,0,0,0,0,1,0,0,1955,1950
108,S_RES_0109_1955,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,1950
109,S_RES_0110_1955,0,0,0,0,0,0,0,0,0,0,0,0,0,1955,1950
110,S_RES_0111_1956,0,0,0,0,0,0,0,0,0,0,1,0,0,1956,1950
111,S_RES_0112_1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
112,S_RES_0113_1956,0,0,0,0,0,0,0,1,0,0,1,1,0,1956,1950
113,S_RES_0114_1956,0,0,0,0,0,0,0,0,0,0,1,0,0,1956,1950
114,S_RES_0115_1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
115,S_RES_0116_1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
116,S_RES_0117_1956,1,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
117,S_RES_0118_1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
118,S_RES_0119_1956,1,0,0,0,0,0,0,1,0,0,0,1,0,1956,1950
119,S_RES_0120_1956,1,0,0,0,0,0,0,1,0,0,0,1,0,1956,1950
120,S_RES_0121_1956,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1950
121,S_RES_0122_1957,1,0,0,0,0,0,0,0,0,0,0,0,0,1957,1950
122,S_RES_0123_1957,0,0,0,0,0,0,0,0,0,0,1,0,0,1957,1950
123,S_RES_0124_1957,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,1950
124,S_RES_0125_1957,0,0,0,0,0,0,0,0,0,0,0,0,0,1957,1950
125,S_RES_0126_1957,0,0,0,0,0,0,0,0,0,1,1,0,0,1957,1950
126,S_RES_0127_1958,0,0,0,0,0,0,0,0,0,0,1,0,0,1958,1950
127,S_RES_0128_1958,1,0,0,0,0,0,0,0,0,1,1,0,0,1958,1950
128,S_RES_0129_1958,1,0,0,0,0,0,0,1,0,0,0,1,0,1958,1950
129,S_RES_0130_1958,1,0,0,0,0,0,0,0,0,0,0,0,0,1958,1950
130,S_RES_0131_1958,0,0,0,0,0,0,0,0,0,0,0,0,0,1958,1950
131,S_RES_0132_1959,1,0,0,0,0,0,0,0,0,0,0,0,0,1959,1950
132,S_RES_0133_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
133,S_RES_0134_1960,0,0,0,0,0,0,0,1,0,0,1,1,0,1960,1960
134,S_RES_0135_1960,0,0,0,0,0,0,0,1,0,0,1,1,0,1960,1960
135,S_RES_0136_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
136,S_RES_0137_1960,1,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
137,S_RES_0138_1960,0,0,0,0,0,0,0,1,0,0,1,1,0,1960,1960
138,S_RES_0139_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
139,S_RES_0140_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
140,S_RES_0141_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
141,S_RES_0142_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
142,S_RES_0143_1960,1,0,0,0,0,0,0,0,0,0,1,0,0,1960,1960
143,S_RES_0144_1960,1,0,0,0,0,0,0,1,0,0,0,1,0,1960,1960
144,S_RES_0145_1960,0,0,0,0,0,0,0,1,0,1,1,1,0,1960,1960
145,S_RES_0146_1960,0,0,0,0,0,0,0,0,0,0,1,0,0,1960,1960
146,S_RES_0147_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
147,S_RES_0148_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
148,S_RES_0149_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
149,S_RES_0150_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
150,S_RES_0151_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
151,S_RES_0152_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
152,S_RES_0153_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
153,S_RES_0154_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
154,S_RES_0155_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
155,S_RES_0156_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
156,S_RES_0157_1960,1,0,0,0,0,0,0,1,0,0,0,1,0,1960,1960
157,S_RES_0158_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
158,S_RES_0159_1960,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,1960
